,Principal Component 1,Principal Component 2,principal component 3,principal component 4,principal component 5,principal component 6,target,labels,Occupation_category1,Occupation_category,Total,White,entropy,Black
69,-0.2808040279991045,-0.6699539820341297,0.3455777130090994,0.4843459995456411,0.16066139476344046,0.10103281425573565,Electrical and electronics engineers,1,Architecture and engineering occupations,Architecture and engineering occupations,299,223054.0,1.2316433818941581,13156.000000000002
70,0.3956559928120204,-0.8594365318793473,0.09815416156103537,0.523544500713135,-0.36305067517255774,-0.00682321373788685,"Industrial engineers, including health and safety",1,Architecture and engineering occupations,Architecture and engineering occupations,216,163728.0,1.1735377814856451,11016.0
71,-0.6951766183838269,-0.5719734897396521,0.03669735337526916,0.608077744912735,-0.036765029223307585,0.05724518881252284,Mechanical engineers,1,Architecture and engineering occupations,Architecture and engineering occupations,354,276120.0,1.2081297957880786,16283.999999999998
72,-1.883315734522285,-0.537260338357682,0.2197424943767461,0.5194818648974086,-0.017527470869700672,0.10690269792355282,"Engineers, all other",0,Architecture and engineering occupations,Architecture and engineering occupations,666,478854.0,1.260213531989569,33966.0
73,2.19232612192812,-0.5486663729733001,0.5327662464504564,0.6389331234292177,0.3809697796226103,0.03840524287416984,Other drafters,2,Architecture and engineering occupations,Architecture and engineering occupations,93,83235.0,1.0770323613362782,2697.0
74,1.8688770387011988,-0.654541148667473,-0.3712444693443407,-0.06229088873997518,-0.21125712975254468,-0.022145920481082722,Electrical and electronic engineering technologists and technicians,2,Architecture and engineering occupations,Architecture and engineering occupations,74,55648.0,1.2585983540697476,8436.0
75,-0.6511633892656769,-0.08799921296480713,-0.021679994460446106,0.09864557063427264,0.03547150096282014,-0.004699698176538637,"Other engineering technologists and technicians, except drafters",1,Architecture and engineering occupations,Architecture and engineering occupations,293,238795.0,1.2371561531037263,28128.0
76,2.5739494359927257,-0.1245959884629223,-0.2575195012285769,0.27255792394303435,0.3359616000821335,-0.00010797050099634949,Surveying and mapping technicians,2,Architecture and engineering occupations,Architecture and engineering occupations,57,50559.00000000001,1.156671648663875,3420.0
77,1.9557657301369846,-1.106464253998023,0.06487954211501681,-0.046363584990152806,-1.0346502980602847,-0.17452431314026157,Biological scientists,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",94,66834.0,1.1830754910710157,11373.999999999998
78,1.5885045336028893,-1.350693341392583,0.20232244736713464,-0.01160056219395048,-0.36580473731652324,0.2247443831356861,Medical scientists,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",121,58080.0,1.2717881363798234,8712.0
79,2.214014097446684,-0.9694493453602816,1.11318586156953,-0.19841003800206106,-0.11257136357781106,0.008273201196622676,Chemists and materials scientists,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",94,65988.0,1.2071767425397761,7520.0
80,-0.6755698035215311,-0.8369251857028531,0.34716059874226646,0.21525601730272403,-0.2573139855176465,0.10102945090986634,"Physical scientists, all other",1,"Life, physical, and social science occupations","Life, physical, and social science occupations",370,236060.0,1.2653425612541327,25530.0
81,7.044063966945167,5.0040465196900765,6.398634375445712,-1.4378890591841407,0.4216986355568617,0.11225212342696597,School psychologists,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",58,53592.00000000001,1.0735776258534298,4407.999999999999
82,0.95821170564643,-0.508295248552537,-0.19607727715086037,0.5378711038820254,-0.3373842289782527,-0.05188517223821282,Other psychologists,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",149,126054.0,1.111037880225606,8344.0
83,2.8753762313540725,-0.49976240575324415,-0.6860784523711281,0.6233754503361615,-0.46539432356837007,-0.06329743228516203,Miscellaneous social scientists and related workers,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",54,45792.0,1.0864623176365888,2808.0
84,-0.28515396034038426,-0.4027836710859546,0.3536011013669757,0.07265099659329584,-0.032808293991187384,-0.002427002697523512,"Other life, physical, and social science technicians",1,"Life, physical, and social science occupations","Life, physical, and social science occupations",269,212241.00000000003,1.2201746229781716,23403.0
85,1.8389547790529834,-0.24299815668568808,-0.7545828514638376,-0.0393714904426559,-0.3244487130272432,-0.015549985554004154,Occupational health and safety specialists and technicians,2,"Life, physical, and social science occupations","Life, physical, and social science occupations",72,54215.99999999999,1.255328307872581,9360.0
86,1.0079870256384516,0.21367500221560695,-0.03448483081005932,-0.6321981746384875,-0.4342084554710572,-0.02930063336770761,Substance abuse and behavioral disorder counselors,2,Community and social service occupations,Community and social service occupations,121,85184.00000000001,1.2440601746266786,31339.0
87,-1.2028530601408867,0.24202702741563373,-0.10456667098931188,-0.31594790801780165,-0.19867978832191488,-0.009716307152248034,"Educational, guidance, and career counselors and advisors",1,Community and social service occupations,Community and social service occupations,362,268966.0,1.2933533673426518,68417.99999999999
88,-0.04761830453917012,0.10821121499119671,-0.17490716350060356,-0.228956103079388,-0.47431237209479665,-0.052896603078422616,Mental health counselors,1,Community and social service occupations,Community and social service occupations,212,161755.99999999997,1.216364226145382,37312.00000000001
89,-0.4996567515965878,-0.04039163628012042,0.002630431931085411,-0.6494022757693098,-0.4162799632461402,0.008606949511841308,"Counselors, all other",1,Community and social service occupations,Community and social service occupations,250,162500.0,1.3135838999203655,69000.0
90,2.235706796836353,0.2597665130606521,-0.6055298929555811,-0.8153161653731249,-0.175581319960553,0.045079918232136064,"Child, family, and school social workers",2,Community and social service occupations,Community and social service occupations,54,34236.0,1.3558878742900415,16578.0
91,1.761590395922271,0.10913975536446266,-0.3640123464907069,-0.647155382538403,-0.5096307444163256,-0.015869712680783677,Healthcare social workers,2,Community and social service occupations,Community and social service occupations,77,51898.0,1.264568012841833,21175.0
92,-2.4706236631209553,0.202899445218174,-0.020408948333519448,-0.5136556913303874,-0.3205151483379819,0.035066415725824626,"Social workers, all other",0,Community and social service occupations,Community and social service occupations,681,445374.0,1.3572484458974061,175698.0
93,1.5340361729575884,0.1087370865946213,-0.4105100671740481,-0.2929604044315606,-0.3153777719066937,-0.03781731604526376,Probation officers and correctional treatment specialists,2,Community and social service occupations,Community and social service occupations,88,67407.99999999999,1.232909099701541,15311.999999999998
94,-0.016901185340564385,-0.18892709992677897,-0.17146202873264685,-0.21301897603265416,-0.1579368151637333,-0.014267587773043303,Social and human service assistants,1,Community and social service occupations,Community and social service occupations,194,145888.00000000003,1.2844641184262797,29294.0
95,0.9330129360482949,-0.3094250657461109,-0.6099023439838345,-0.6188916970967714,-0.1418001176876754,0.06445315152640546,Other community and social service specialists,2,Community and social service occupations,Community and social service occupations,100,61800.0,1.4170770519481801,24800.0
96,-0.9292398986575634,-0.12696067927751298,0.30692340463667384,0.22784463500117744,-0.3508227844550192,-0.06656745776704748,Clergy,1,Community and social service occupations,Community and social service occupations,404,340976.00000000006,1.1241622144272112,35147.99999999999
97,2.881309491591478,-0.22038868401549905,0.2480710014166269,0.7748844838055786,0.2426399310932319,0.01778173462887555,"Directors, religious activities and education",2,Community and social service occupations,Community and social service occupations,67,63114.00000000001,0.996976508085647,1809.0
98,2.270685560431057,-0.8317463107451185,0.5718513148214138,0.2714134834457154,-0.7167595564612119,-0.18816510195982133,"Religious workers, all other",2,Community and social service occupations,Community and social service occupations,96,81792.00000000001,1.0334294225357505,6335.999999999999
99,-2.5387247891409976,0.004097094474747468,0.5180045541229017,0.632612960861113,-0.37412700225327844,-0.04927906889152891,Lawyers,0,Legal occupations,Legal occupations,"1,085",953715.0,1.0651327683954048,58590.0
100,1.7394158913203868,-0.17608689484217366,-0.33757613352029886,-0.4910098677237492,-0.4356804643665078,-0.0420947547082623,"Judges, magistrates, and other judicial workers",2,Legal occupations,Legal occupations,77,54900.99999999999,1.256859510608432,16940.0
101,-1.5670662643126956,0.08083007823822576,-0.2187307721418722,0.02386171343769841,0.15392890413835228,0.01827479801819776,Paralegals and legal assistants,1,Legal occupations,Legal occupations,431,336611.0,1.3231671462616656,48272.0
102,1.6016625723382292,-0.6098005580422518,0.13976956152743375,0.09624043257934031,-0.5001200320920091,-0.11534967348209792,"Title examiners, abstractors, and searchers",2,Legal occupations,Legal occupations,107,87846.99999999999,1.1190184703937562,9951.0
103,1.6823560193389253,-0.46174414885606235,-0.40823854626065403,-0.18520338386700394,-0.3293352209369339,-0.042374667553592316,"Legal support workers, all other",2,Legal occupations,Legal occupations,80,60000.0,1.251587077971299,11600.0
104,-2.877279741424117,-0.2998224394293532,0.4512153930033252,0.34488447987948867,-0.39921877031770925,-0.009056783560940519,Postsecondary teachers,0,"Education, training, and library occupations","Education, training, and library occupations","1,154",885118.0,1.2003664115290003,90011.99999999999
105,-1.9710929518104487,0.20466059842080708,0.23076508750211044,-0.02696076216251237,-0.18213504687005247,-0.03020121925410999,Preschool and kindergarten teachers,0,"Education, training, and library occupations","Education, training, and library occupations",613,496530.0,1.215083138659522,77850.99999999999
106,-4.921247724612236,0.4981588239245332,0.4883091296613665,0.31838046318703883,-0.3968462300618653,-0.03188519519375086,Elementary and middle school teachers,0,"Education, training, and library occupations","Education, training, and library occupations","3,260",2731880.0,1.1599691230746885,326000.0
107,-2.4648524154340934,0.12355273654951003,0.3070721781040124,0.46304565575330897,-0.3735274503658501,-0.048159276690654104,Secondary school teachers,0,"Education, training, and library occupations","Education, training, and library occupations",940,812160.0,1.1039291778463416,67680.0
108,-0.6736726832822888,-0.020815576868534653,0.18838997056888102,0.22794513946335443,-0.5749557348545422,-0.10409111601126508,Special education teachers,1,"Education, training, and library occupations","Education, training, and library occupations",362,308061.99999999994,1.0894060312992955,34752.0
109,0.5687099971444035,-0.6699457250665319,0.052236996828204034,0.2858284750980161,0.1568177314927582,0.0669918804647451,Tutors,1,"Education, training, and library occupations","Education, training, and library occupations",168,127008.0,1.2587075995193222,10080.0
110,-2.3240567374983088,0.12968449067419036,0.16960942077330807,0.0017941206717878102,-0.3451401746158282,-0.036163498363845664,Other teachers and instructors,0,"Education, training, and library occupations","Education, training, and library occupations",737,582967.0,1.2172267479798848,98021.0
111,3.063535500244189,-0.25767095413500757,-0.09148820262573099,1.174242097963242,0.3851772875820004,0.08228809179570262,"Archivists, curators, and museum technicians",2,"Education, training, and library occupations","Education, training, and library occupations",62,58528.0,1.0003020901108939,992.0
112,1.0938042379598234,-0.4665120014603768,0.10294968717994527,0.4054798801202872,-0.7530594228043597,-0.1631081711556645,Librarians and media collections specialists,2,"Education, training, and library occupations","Education, training, and library occupations",158,136986.0,1.0351622991132645,11218.0
113,-3.557426200385286,0.15233939724455778,0.11841202223452012,0.05740219499377284,-0.052279870938779976,0.024120383707209956,Teaching assistants,0,"Education, training, and library occupations","Education, training, and library occupations","1,309",998767.0,1.3122884898869829,157080.0
114,0.8710686612019957,-0.195631605371402,0.29080587274104064,-0.08209449203342106,-0.08627041919842834,-0.05365942704804142,Other educational instruction and library workers,2,"Education, training, and library occupations","Education, training, and library occupations",145,120930.0,1.1655136144378972,15515.0
115,-0.35250910425845267,-0.10404241210276087,-0.022778760513688615,0.5685499682463921,0.13803170033528686,0.02245208064198543,Artists and related workers,1,"Arts, design, entertainment, sports, and media occupations","Arts, design, entertainment, sports, and media occupations",286,249678.0,1.1487559757771133,14014.0
116,2.290206645378615,-0.13135538672115554,-0.8110819581499774,-0.20959036573514594,0.505911660594821,-0.0028514607236541836,Floral designers,2,"Arts, design, entertainment, sports, and media occupations","Arts, design, entertainment, sports, and media occupations",50,38500.0,1.379642555964829,5900.0
117,-0.24510636670742564,-0.21377798579963794,0.11583145580540967,0.3800565814459435,-0.04640392203411472,-0.014548352028619411,Graphic designers,1,"Arts, design, entertainment, sports, and media occupations","Arts, design, entertainment, sports, and media occupations",271,231705.0,1.1460794730474548,17344.0
